id;name;type;fgc_guarantee;active;minimum_investment;financial_risk;daily_liquidity;indexer_profitability;type_profitability;value_profitability;redemption_period;net_profitability;gross_income;distributor_name;issuer_name;risk;thumbnail;financial_risk_original;cdi_yearly;ipca_12
3986;CDB Banco Guanabara Pós-fixado 108,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;108.00;26/02/2027;9.94;11.93;Nubank;Banco Guanabara S.A.;1;https://investidor10.com.br/storage/companies/67575618a30e4.png;LOW;11.13;5.06
3756;CDB Banco Guanabara Pós-fixado 108,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;108.00;11/02/2027;9.94;11.93;Nubank;Banco Guanabara S.A.;1;https://investidor10.com.br/storage/companies/67575618a30e4.png;LOW;11.13;5.06
3791;CDB Banco Guanabara Pós-fixado 108,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;108.00;15/02/2027;9.94;11.93;Nubank;Banco Guanabara S.A.;1;https://investidor10.com.br/storage/companies/67575618a30e4.png;LOW;11.13;5.06
4064;CDB Luso Brasileiro Pós-fixado 105,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;105.00;10/03/2027;9.94;11.60;Itaú Unibanco;BANCO LUSO BRASILEIRO;1;https://investidor10.com.br/storage/companies/674f149d29790.jpg;LOW;11.13;5.06
3354;CDB Omni Pós-fixado 117,00% CDI;CDB;1;1;2009.02;Baixo;No Vencimento;CDI;POST_FIXED;117.00;11/07/2025;9.93;12.93;Nubank;Banco Omni;1;https://investidor10.com.br/storage/companies/674f140708ca7.jpg;LOW;11.13;5.06
3936;CDB Banco BMG Pós-fixado 103,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;103.00;17/08/2028;9.86;11.38;BTG Pactual;Banco BMG;1;https://investidor10.com.br/storage/companies/66d9a94bc4c89.jpg;LOW;11.13;5.06
4165;CDB Banco Mercantil Pós-Fixado 104,00% CDI;CDB;1;1;5000.0;Baixo;No Vencimento;CDI;POST_FIXED;104.00;15/03/2027;9.85;11.49;Bradesco;Banco Mercantil do Brasil;1;https://investidor10.com.br/storage/companies/649ca663f374f.jpg;LOW;11.13;5.06
4167;CDB Banco Digimais Pós-Fixado 104,00% CDI;CDB;1;1;5000.0;Baixo;No Vencimento;CDI;POST_FIXED;104.00;15/03/2027;9.85;11.49;Bradesco;Banco Digimais;1;https://investidor10.com.br/storage/companies/6716aa1c977b6.png;LOW;11.13;5.06
3987;CDB Banco Guanabara Pós-fixado 107,50% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;107.50;29/08/2026;9.85;11.88;Nubank;Banco Guanabara S.A.;1;https://investidor10.com.br/storage/companies/67575618a30e4.png;LOW;11.13;5.06
3990;CDB Banco Original Pós-fixado 107,00% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;107.00;26/02/2027;9.85;11.82;Nubank;Banco Original;1;https://investidor10.com.br/storage/companies/6751de6021724.png;LOW;11.13;5.06
